deviceName,creationDate,startDate,endDate,value
Apple Watch,2024-05-27 14:19:04 +0900,2024-05-27 14:18:16 +0900,2024-05-27 14:18:16 +0900,55
Apple Watch,2024-05-27 14:19:04 +0900,2024-05-27 14:18:30 +0900,2024-05-27 14:18:30 +0900,59.9731
Apple Watch,2024-05-27 14:22:39 +0900,2024-05-27 14:21:37 +0900,2024-05-27 14:21:37 +0900,58.0794
Apple Watch,2024-05-27 14:23:38 +0900,2024-05-27 14:21:31 +0900,2024-05-27 14:21:31 +0900,55
Apple Watch,2024-05-27 14:26:41 +0900,2024-05-27 14:26:40 +0900,2024-05-27 14:26:40 +0900,73
Apple Watch,2024-05-27 14:26:46 +0900,2024-05-27 14:26:45 +0900,2024-05-27 14:26:45 +0900,71
Apple Watch,2024-05-27 14:26:51 +0900,2024-05-27 14:26:50 +0900,2024-05-27 14:26:50 +0900,69
Apple Watch,2024-05-27 14:26:56 +0900,2024-05-27 14:26:54 +0900,2024-05-27 14:26:54 +0900,68
Apple Watch,2024-05-27 14:27:01 +0900,2024-05-27 14:27:00 +0900,2024-05-27 14:27:00 +0900,62
Apple Watch,2024-05-27 14:27:06 +0900,2024-05-27 14:27:05 +0900,2024-05-27 14:27:05 +0900,59
Apple Watch,2024-05-27 14:27:11 +0900,2024-05-27 14:27:06 +0900,2024-05-27 14:27:06 +0900,59
Apple Watch,2024-05-27 14:27:16 +0900,2024-05-27 14:27:15 +0900,2024-05-27 14:27:15 +0900,57
Apple Watch,2024-05-27 14:27:21 +0900,2024-05-27 14:27:16 +0900,2024-05-27 14:27:16 +0900,57
Apple Watch,2024-05-27 14:27:26 +0900,2024-05-27 14:27:25 +0900,2024-05-27 14:27:25 +0900,56
Apple Watch,2024-05-27 14:27:30 +0900,2024-05-27 14:27:27 +0900,2024-05-27 14:27:27 +0900,56
Apple Watch,2024-05-27 14:27:36 +0900,2024-05-27 14:27:31 +0900,2024-05-27 14:27:31 +0900,56
Apple Watch,2024-05-27 14:27:41 +0900,2024-05-27 14:27:36 +0900,2024-05-27 14:27:36 +0900,56
Apple Watch,2024-05-27 14:27:46 +0900,2024-05-27 14:27:45 +0900,2024-05-27 14:27:45 +0900,58
Apple Watch,2024-05-27 14:27:51 +0900,2024-05-27 14:27:46 +0900,2024-05-27 14:27:46 +0900,58
Apple Watch,2024-05-27 14:27:56 +0900,2024-05-27 14:27:51 +0900,2024-05-27 14:27:51 +0900,58
Apple Watch,2024-05-27 14:28:01 +0900,2024-05-27 14:27:56 +0900,2024-05-27 14:27:56 +0900,60
Apple Watch,2024-05-27 14:28:06 +0900,2024-05-27 14:28:02 +0900,2024-05-27 14:28:02 +0900,60
Apple Watch,2024-05-27 14:28:11 +0900,2024-05-27 14:28:06 +0900,2024-05-27 14:28:06 +0900,60
Apple Watch,2024-05-27 14:28:16 +0900,2024-05-27 14:28:13 +0900,2024-05-27 14:28:13 +0900,58
Apple Watch,2024-05-27 14:28:21 +0900,2024-05-27 14:28:19 +0900,2024-05-27 14:28:19 +0900,57
Apple Watch,2024-05-27 14:28:26 +0900,2024-05-27 14:28:25 +0900,2024-05-27 14:28:25 +0900,56
Apple Watch,2024-05-27 14:28:31 +0900,2024-05-27 14:28:29 +0900,2024-05-27 14:28:29 +0900,56
Apple Watch,2024-05-27 14:28:36 +0900,2024-05-27 14:28:31 +0900,2024-05-27 14:28:31 +0900,56
Apple Watch,2024-05-27 14:28:40 +0900,2024-05-27 14:28:39 +0900,2024-05-27 14:28:39 +0900,60
Apple Watch,2024-05-27 14:28:40 +0900,2024-05-27 14:25:39 +0900,2024-05-27 14:25:39 +0900,58
Apple Watch,2024-05-27 14:28:46 +0900,2024-05-27 14:28:44 +0900,2024-05-27 14:28:44 +0900,61
Apple Watch,2024-05-27 14:28:51 +0900,2024-05-27 14:28:48 +0900,2024-05-27 14:28:48 +0900,62
Apple Watch,2024-05-27 14:28:56 +0900,2024-05-27 14:28:53 +0900,2024-05-27 14:28:53 +0900,61
Apple Watch,2024-05-27 14:29:01 +0900,2024-05-27 14:29:00 +0900,2024-05-27 14:29:00 +0900,57
Apple Watch,2024-05-27 14:29:06 +0900,2024-05-27 14:29:03 +0900,2024-05-27 14:29:03 +0900,56
Apple Watch,2024-05-27 14:29:11 +0900,2024-05-27 14:29:08 +0900,2024-05-27 14:29:08 +0900,54
Apple Watch,2024-05-27 14:29:16 +0900,2024-05-27 14:29:11 +0900,2024-05-27 14:29:11 +0900,54
Apple Watch,2024-05-27 14:29:21 +0900,2024-05-27 14:29:17 +0900,2024-05-27 14:29:17 +0900,55
Apple Watch,2024-05-27 14:29:25 +0900,2024-05-27 14:29:24 +0900,2024-05-27 14:29:24 +0900,53
Apple Watch,2024-05-27 14:29:30 +0900,2024-05-27 14:29:27 +0900,2024-05-27 14:29:27 +0900,53
Apple Watch,2024-05-27 14:29:35 +0900,2024-05-27 14:29:31 +0900,2024-05-27 14:29:31 +0900,54
Apple Watch,2024-05-27 14:29:40 +0900,2024-05-27 14:29:39 +0900,2024-05-27 14:29:39 +0900,54
Apple Watch,2024-05-27 14:29:45 +0900,2024-05-27 14:29:42 +0900,2024-05-27 14:29:42 +0900,54
Apple Watch,2024-05-27 14:29:50 +0900,2024-05-27 14:29:47 +0900,2024-05-27 14:29:47 +0900,55
Apple Watch,2024-05-27 14:29:55 +0900,2024-05-27 14:29:55 +0900,2024-05-27 14:29:55 +0900,55
Apple Watch,2024-05-27 14:30:00 +0900,2024-05-27 14:29:57 +0900,2024-05-27 14:29:57 +0900,55
Apple Watch,2024-05-27 14:30:06 +0900,2024-05-27 14:30:01 +0900,2024-05-27 14:30:01 +0900,55
Apple Watch,2024-05-27 14:30:11 +0900,2024-05-27 14:30:08 +0900,2024-05-27 14:30:08 +0900,55
Apple Watch,2024-05-27 14:30:16 +0900,2024-05-27 14:30:11 +0900,2024-05-27 14:30:11 +0900,55
Apple Watch,2024-05-27 14:30:21 +0900,2024-05-27 14:30:20 +0900,2024-05-27 14:30:20 +0900,56
Apple Watch,2024-05-27 14:30:26 +0900,2024-05-27 14:30:23 +0900,2024-05-27 14:30:23 +0900,55
Apple Watch,2024-05-27 14:30:31 +0900,2024-05-27 14:30:26 +0900,2024-05-27 14:30:26 +0900,55
Apple Watch,2024-05-27 14:30:36 +0900,2024-05-27 14:30:33 +0900,2024-05-27 14:30:33 +0900,55
Apple Watch,2024-05-27 14:30:41 +0900,2024-05-27 14:30:37 +0900,2024-05-27 14:30:37 +0900,55
Apple Watch,2024-05-27 14:30:46 +0900,2024-05-27 14:30:41 +0900,2024-05-27 14:30:41 +0900,55
Apple Watch,2024-05-27 14:30:51 +0900,2024-05-27 14:30:46 +0900,2024-05-27 14:30:46 +0900,55
Apple Watch,2024-05-27 14:30:56 +0900,2024-05-27 14:30:54 +0900,2024-05-27 14:30:54 +0900,63
Apple Watch,2024-05-27 14:31:01 +0900,2024-05-27 14:31:00 +0900,2024-05-27 14:31:00 +0900,68
Apple Watch,2024-05-27 14:31:06 +0900,2024-05-27 14:31:01 +0900,2024-05-27 14:31:01 +0900,68
Apple Watch,2024-05-27 14:31:11 +0900,2024-05-27 14:31:10 +0900,2024-05-27 14:31:10 +0900,68
Apple Watch,2024-05-27 14:31:16 +0900,2024-05-27 14:31:12 +0900,2024-05-27 14:31:12 +0900,66
Apple Watch,2024-05-27 14:31:21 +0900,2024-05-27 14:31:16 +0900,2024-05-27 14:31:16 +0900,62
Apple Watch,2024-05-27 14:31:25 +0900,2024-05-27 14:31:25 +0900,2024-05-27 14:31:25 +0900,58
Apple Watch,2024-05-27 14:31:30 +0900,2024-05-27 14:31:26 +0900,2024-05-27 14:31:26 +0900,58
Apple Watch,2024-05-27 14:31:35 +0900,2024-05-27 14:31:34 +0900,2024-05-27 14:31:34 +0900,56
Apple Watch,2024-05-27 14:31:40 +0900,2024-05-27 14:31:38 +0900,2024-05-27 14:31:38 +0900,55
Apple Watch,2024-05-27 14:31:45 +0900,2024-05-27 14:31:44 +0900,2024-05-27 14:31:44 +0900,53
Apple Watch,2024-05-27 14:31:50 +0900,2024-05-27 14:31:46 +0900,2024-05-27 14:31:46 +0900,54
Apple Watch,2024-05-27 14:31:55 +0900,2024-05-27 14:31:51 +0900,2024-05-27 14:31:51 +0900,54
Apple Watch,2024-05-27 14:32:00 +0900,2024-05-27 14:31:57 +0900,2024-05-27 14:31:57 +0900,55
Apple Watch,2024-05-27 14:32:06 +0900,2024-05-27 14:32:01 +0900,2024-05-27 14:32:01 +0900,55
Apple Watch,2024-05-27 14:32:11 +0900,2024-05-27 14:32:10 +0900,2024-05-27 14:32:10 +0900,61
Apple Watch,2024-05-27 14:32:16 +0900,2024-05-27 14:32:11 +0900,2024-05-27 14:32:11 +0900,61
Apple Watch,2024-05-27 14:32:21 +0900,2024-05-27 14:32:19 +0900,2024-05-27 14:32:19 +0900,66
Apple Watch,2024-05-27 14:32:26 +0900,2024-05-27 14:32:25 +0900,2024-05-27 14:32:25 +0900,67
Apple Watch,2024-05-27 14:32:31 +0900,2024-05-27 14:32:26 +0900,2024-05-27 14:32:26 +0900,66
Apple Watch,2024-05-27 14:32:36 +0900,2024-05-27 14:32:31 +0900,2024-05-27 14:32:31 +0900,65
Apple Watch,2024-05-27 14:32:41 +0900,2024-05-27 14:32:40 +0900,2024-05-27 14:32:40 +0900,61
Apple Watch,2024-05-27 14:32:46 +0900,2024-05-27 14:32:45 +0900,2024-05-27 14:32:45 +0900,59
Apple Watch,2024-05-27 14:32:51 +0900,2024-05-27 14:32:50 +0900,2024-05-27 14:32:50 +0900,57
Apple Watch,2024-05-27 14:32:56 +0900,2024-05-27 14:32:55 +0900,2024-05-27 14:32:55 +0900,57
Apple Watch,2024-05-27 14:33:01 +0900,2024-05-27 14:33:00 +0900,2024-05-27 14:33:00 +0900,57
Apple Watch,2024-05-27 14:33:06 +0900,2024-05-27 14:33:05 +0900,2024-05-27 14:33:05 +0900,56
Apple Watch,2024-05-27 14:33:11 +0900,2024-05-27 14:33:07 +0900,2024-05-27 14:33:07 +0900,56
Apple Watch,2024-05-27 14:33:16 +0900,2024-05-27 14:33:11 +0900,2024-05-27 14:33:11 +0900,57
Apple Watch,2024-05-27 14:33:21 +0900,2024-05-27 14:33:16 +0900,2024-05-27 14:33:16 +0900,59
Apple Watch,2024-05-27 14:33:26 +0900,2024-05-27 14:33:21 +0900,2024-05-27 14:33:21 +0900,61
Apple Watch,2024-05-27 14:33:31 +0900,2024-05-27 14:33:28 +0900,2024-05-27 14:33:28 +0900,64
Apple Watch,2024-05-27 14:33:36 +0900,2024-05-27 14:33:33 +0900,2024-05-27 14:33:33 +0900,62
Apple Watch,2024-05-27 14:33:41 +0900,2024-05-27 14:33:36 +0900,2024-05-27 14:33:36 +0900,62
Apple Watch,2024-05-27 14:33:46 +0900,2024-05-27 14:33:44 +0900,2024-05-27 14:33:44 +0900,59
Apple Watch,2024-05-27 14:33:51 +0900,2024-05-27 14:33:49 +0900,2024-05-27 14:33:49 +0900,58
Apple Watch,2024-05-27 14:33:56 +0900,2024-05-27 14:33:53 +0900,2024-05-27 14:33:53 +0900,58
Apple Watch,2024-05-27 14:34:01 +0900,2024-05-27 14:33:56 +0900,2024-05-27 14:33:56 +0900,56
Apple Watch,2024-05-27 14:34:06 +0900,2024-05-27 14:34:03 +0900,2024-05-27 14:34:03 +0900,57
Apple Watch,2024-05-27 14:34:11 +0900,2024-05-27 14:34:09 +0900,2024-05-27 14:34:09 +0900,57
Apple Watch,2024-05-27 14:34:16 +0900,2024-05-27 14:34:15 +0900,2024-05-27 14:34:15 +0900,56
Apple Watch,2024-05-27 14:34:21 +0900,2024-05-27 14:34:16 +0900,2024-05-27 14:34:16 +0900,56
Apple Watch,2024-05-27 14:34:26 +0900,2024-05-27 14:34:22 +0900,2024-05-27 14:34:22 +0900,59
Apple Watch,2024-05-27 14:34:31 +0900,2024-05-27 14:34:30 +0900,2024-05-27 14:34:30 +0900,59
Apple Watch,2024-05-27 14:34:36 +0900,2024-05-27 14:34:32 +0900,2024-05-27 14:34:32 +0900,59
Apple Watch,2024-05-27 14:34:41 +0900,2024-05-27 14:34:37 +0900,2024-05-27 14:34:37 +0900,60
Apple Watch,2024-05-27 14:34:46 +0900,2024-05-27 14:34:45 +0900,2024-05-27 14:34:45 +0900,58
Apple Watch,2024-05-27 14:34:51 +0900,2024-05-27 14:34:47 +0900,2024-05-27 14:34:47 +0900,58
Apple Watch,2024-05-27 14:34:56 +0900,2024-05-27 14:34:51 +0900,2024-05-27 14:34:51 +0900,58
Apple Watch,2024-05-27 14:35:01 +0900,2024-05-27 14:35:00 +0900,2024-05-27 14:35:00 +0900,56
Apple Watch,2024-05-27 14:35:06 +0900,2024-05-27 14:35:03 +0900,2024-05-27 14:35:03 +0900,57
Apple Watch,2024-05-27 14:35:11 +0900,2024-05-27 14:35:07 +0900,2024-05-27 14:35:07 +0900,58
Apple Watch,2024-05-27 14:35:16 +0900,2024-05-27 14:35:14 +0900,2024-05-27 14:35:14 +0900,62
Apple Watch,2024-05-27 14:35:21 +0900,2024-05-27 14:35:20 +0900,2024-05-27 14:35:20 +0900,66
Apple Watch,2024-05-27 14:35:26 +0900,2024-05-27 14:35:24 +0900,2024-05-27 14:35:24 +0900,66
Apple Watch,2024-05-27 14:35:31 +0900,2024-05-27 14:35:26 +0900,2024-05-27 14:35:26 +0900,66
Apple Watch,2024-05-27 14:35:36 +0900,2024-05-27 14:35:35 +0900,2024-05-27 14:35:35 +0900,61
Apple Watch,2024-05-27 14:39:00 +0900,2024-05-27 14:38:09 +0900,2024-05-27 14:38:09 +0900,57
Apple Watch,2024-05-27 14:43:40 +0900,2024-05-27 14:41:08 +0900,2024-05-27 14:41:08 +0900,58
Apple Watch,2024-05-27 14:48:45 +0900,2024-05-27 14:44:49 +0900,2024-05-27 14:44:49 +0900,56
Apple Watch,2024-05-27 14:54:07 +0900,2024-05-27 14:52:17 +0900,2024-05-27 14:52:17 +0900,59
Apple Watch,2024-05-27 14:59:25 +0900,2024-05-27 14:55:56 +0900,2024-05-27 14:55:56 +0900,58
Apple Watch,2024-05-27 15:03:40 +0900,2024-05-27 15:02:42 +0900,2024-05-27 15:02:42 +0900,56
Apple Watch,2024-05-27 15:09:27 +0900,2024-05-27 15:03:53 +0900,2024-05-27 15:03:53 +0900,53
Apple Watch,2024-05-27 15:14:32 +0900,2024-05-27 15:09:09 +0900,2024-05-27 15:09:09 +0900,56
Apple Watch,2024-05-27 15:19:05 +0900,2024-05-27 15:14:16 +0900,2024-05-27 15:14:16 +0900,55
Apple Watch,2024-05-27 15:19:05 +0900,2024-05-27 15:19:12 +0900,2024-05-27 15:19:12 +0900,50
Apple Watch,2024-05-27 15:27:11 +0900,2024-05-27 15:18:42 +0900,2024-05-27 15:18:42 +0900,55
Apple Watch,2024-05-27 15:27:30 +0900,2024-05-27 15:27:28 +0900,2024-05-27 15:27:28 +0900,86
Apple Watch,2024-05-27 15:27:34 +0900,2024-05-27 15:27:33 +0900,2024-05-27 15:27:33 +0900,76
Apple Watch,2024-05-27 15:27:39 +0900,2024-05-27 15:27:37 +0900,2024-05-27 15:27:37 +0900,74
Apple Watch,2024-05-27 15:27:44 +0900,2024-05-27 15:27:43 +0900,2024-05-27 15:27:43 +0900,70
Apple Watch,2024-05-27 15:27:49 +0900,2024-05-27 15:27:47 +0900,2024-05-27 15:27:47 +0900,69
Apple Watch,2024-05-27 15:27:54 +0900,2024-05-27 15:27:49 +0900,2024-05-27 15:27:49 +0900,68
Apple Watch,2024-05-27 15:27:59 +0900,2024-05-27 15:27:54 +0900,2024-05-27 15:27:54 +0900,69
Apple Watch,2024-05-27 15:28:04 +0900,2024-05-27 15:28:03 +0900,2024-05-27 15:28:03 +0900,68
Apple Watch,2024-05-27 15:28:09 +0900,2024-05-27 15:28:08 +0900,2024-05-27 15:28:08 +0900,65
Apple Watch,2024-05-27 15:28:14 +0900,2024-05-27 15:28:13 +0900,2024-05-27 15:28:13 +0900,61
Apple Watch,2024-05-27 15:28:19 +0900,2024-05-27 15:28:18 +0900,2024-05-27 15:28:18 +0900,59
Apple Watch,2024-05-27 15:28:24 +0900,2024-05-27 15:28:22 +0900,2024-05-27 15:28:22 +0900,59
Apple Watch,2024-05-27 15:28:28 +0900,2024-05-27 15:28:28 +0900,2024-05-27 15:28:28 +0900,61
Apple Watch,2024-05-27 15:28:33 +0900,2024-05-27 15:28:33 +0900,2024-05-27 15:28:33 +0900,63
Apple Watch,2024-05-27 15:28:39 +0900,2024-05-27 15:28:34 +0900,2024-05-27 15:28:34 +0900,63
Apple Watch,2024-05-27 15:28:44 +0900,2024-05-27 15:28:40 +0900,2024-05-27 15:28:40 +0900,62
Apple Watch,2024-05-27 15:28:49 +0900,2024-05-27 15:28:44 +0900,2024-05-27 15:28:44 +0900,63
Apple Watch,2024-05-27 15:28:54 +0900,2024-05-27 15:28:49 +0900,2024-05-27 15:28:49 +0900,65
Apple Watch,2024-05-27 15:28:59 +0900,2024-05-27 15:28:58 +0900,2024-05-27 15:28:58 +0900,66
