date,value
2024-05-27 14:18:16,55
2024-05-27 14:18:30,59.9731
2024-05-27 14:21:37,58.0794
2024-05-27 14:21:31,55
2024-05-27 14:26:40,73
2024-05-27 14:26:45,71
2024-05-27 14:26:50,69
2024-05-27 14:26:54,68
2024-05-27 14:27:00,62
2024-05-27 14:27:05,59
2024-05-27 14:27:06,59
2024-05-27 14:27:15,57
2024-05-27 14:27:16,57
2024-05-27 14:27:25,56
2024-05-27 14:27:27,56
2024-05-27 14:27:31,56
2024-05-27 14:27:36,56
2024-05-27 14:27:45,58
2024-05-27 14:27:46,58
2024-05-27 14:27:51,58
2024-05-27 14:27:56,60
2024-05-27 14:28:02,60
2024-05-27 14:28:06,60
2024-05-27 14:28:13,58
2024-05-27 14:28:19,57
2024-05-27 14:28:25,56
2024-05-27 14:28:29,56
2024-05-27 14:28:31,56
2024-05-27 14:28:39,60
2024-05-27 14:25:39,58
2024-05-27 14:28:44,61
2024-05-27 14:28:48,62
2024-05-27 14:28:53,61
2024-05-27 14:29:00,57
2024-05-27 14:29:03,56
2024-05-27 14:29:08,54
2024-05-27 14:29:11,54
2024-05-27 14:29:17,55
2024-05-27 14:29:24,53
2024-05-27 14:29:27,53
2024-05-27 14:29:31,54
2024-05-27 14:29:39,54
2024-05-27 14:29:42,54
2024-05-27 14:29:47,55
2024-05-27 14:29:55,55
2024-05-27 14:29:57,55
2024-05-27 14:30:01,55
2024-05-27 14:30:08,55
2024-05-27 14:30:11,55
2024-05-27 14:30:20,56
2024-05-27 14:30:23,55
2024-05-27 14:30:26,55
2024-05-27 14:30:33,55
2024-05-27 14:30:37,55
2024-05-27 14:30:41,55
2024-05-27 14:30:46,55
2024-05-27 14:30:54,63
2024-05-27 14:31:00,68
2024-05-27 14:31:01,68
2024-05-27 14:31:10,68
2024-05-27 14:31:12,66
2024-05-27 14:31:16,62
2024-05-27 14:31:25,58
2024-05-27 14:31:26,58
2024-05-27 14:31:34,56
2024-05-27 14:31:38,55
2024-05-27 14:31:44,53
2024-05-27 14:31:46,54
2024-05-27 14:31:51,54
2024-05-27 14:31:57,55
2024-05-27 14:32:01,55
2024-05-27 14:32:10,61
2024-05-27 14:32:11,61
2024-05-27 14:32:19,66
2024-05-27 14:32:25,67
2024-05-27 14:32:26,66
2024-05-27 14:32:31,65
2024-05-27 14:32:40,61
2024-05-27 14:32:45,59
2024-05-27 14:32:50,57
2024-05-27 14:32:55,57
2024-05-27 14:33:00,57
2024-05-27 14:33:05,56
2024-05-27 14:33:07,56
2024-05-27 14:33:11,57
2024-05-27 14:33:16,59
2024-05-27 14:33:21,61
2024-05-27 14:33:28,64
2024-05-27 14:33:33,62
2024-05-27 14:33:36,62
2024-05-27 14:33:44,59
2024-05-27 14:33:49,58
2024-05-27 14:33:53,58
2024-05-27 14:33:56,56
2024-05-27 14:34:03,57
2024-05-27 14:34:09,57
2024-05-27 14:34:15,56
2024-05-27 14:34:16,56
2024-05-27 14:34:22,59
2024-05-27 14:34:30,59
2024-05-27 14:34:32,59
2024-05-27 14:34:37,60
2024-05-27 14:34:45,58
2024-05-27 14:34:47,58
2024-05-27 14:34:51,58
2024-05-27 14:35:00,56
2024-05-27 14:35:03,57
2024-05-27 14:35:07,58
2024-05-27 14:35:14,62
2024-05-27 14:35:20,66
2024-05-27 14:35:24,66
2024-05-27 14:35:26,66
2024-05-27 14:35:35,61
2024-05-27 14:38:09,57
2024-05-27 14:41:08,58
2024-05-27 14:44:49,56
2024-05-27 14:52:17,59
2024-05-27 14:55:56,58
2024-05-27 15:02:42,56
2024-05-27 15:03:53,53
2024-05-27 15:09:09,56
2024-05-27 15:14:16,55
2024-05-27 15:19:12,50
2024-05-27 15:18:42,55
2024-05-27 15:27:28,86
2024-05-27 15:27:33,76
2024-05-27 15:27:37,74
2024-05-27 15:27:43,70
2024-05-27 15:27:47,69
2024-05-27 15:27:49,68
2024-05-27 15:27:54,69
2024-05-27 15:28:03,68
2024-05-27 15:28:08,65
2024-05-27 15:28:13,61
2024-05-27 15:28:18,59
2024-05-27 15:28:22,59
2024-05-27 15:28:28,61
2024-05-27 15:28:33,63
2024-05-27 15:28:34,63
2024-05-27 15:28:40,62
2024-05-27 15:28:44,63
2024-05-27 15:28:49,65
2024-05-27 15:28:58,66
2024-05-27 15:29:00,67
2024-05-27 15:29:08,68
2024-05-27 15:29:12,67
2024-05-27 15:29:14,66
2024-05-27 15:29:23,65
2024-05-27 15:29:28,66
2024-05-27 15:29:30,66
2024-05-27 15:29:34,66
2024-05-27 15:29:43,67
2024-05-27 15:29:47,67
2024-05-27 15:29:50,66
2024-05-27 15:29:57,66
2024-05-27 15:30:00,66
2024-05-27 15:30:04,68
2024-05-27 15:30:13,72
2024-05-27 15:30:18,73
2024-05-27 15:30:23,72
2024-05-27 15:30:27,72
